id,x,y,width,height,text,type
0,36.0,67.5,34.0,22.0,0.8,y-axis-label
1,7.5,132.0,22.0,176.5,Average precision,y-axis-title
3,24.0,124.5,46.0,23.5,0.75,y-axis-label
4,36.0,183.0,34.0,22.0,0.7,y-axis-label
5,24.0,240.0,46.0,23.5,0.65,y-axis-label
6,36.0,298.5,34.0,22.0,0.6,y-axis-label
7,24.0,355.5,46.0,23.5,0.55,y-axis-label
8,156.0,424.5,14.5,23.5,2,x-axis-label
9,211.5,424.5,14.5,23.5,3,x-axis-label
10,267.0,426.0,14.5,22.0,4,x-axis-label
11,324.0,426.0,14.5,22.0,5,x-axis-label
12,379.5,426.0,14.5,22.0,6,x-axis-label
13,435.0,426.0,14.5,22.0,7,x-axis-label
14,490.5,426.0,16.0,22.0,8,x-axis-label
15,198.0,444.0,316.0,22.0,Number of nearest neighbors (k),x-axis-title
20,547.5,426.0,14.5,22.0,9,x-axis-label
21,597.0,426.0,26.5,22.0,10,x-axis-label
22,24.0,9.0,46.0,23.5,0.85,y-axis-label
23,100.5,424.5,14.5,23.5,1,x-axis-label
24,36.0,414.0,34.0,22.0,0.5,y-axis-label
