id,x,y,width,height,text,type
0,37.5,10.5,28.0,40.0,1.0,y-axis-label
5,331.5,691.5,40.0,28.0,0.4,x-axis-label
6,454.5,691.5,40.0,28.0,0.6,x-axis-label
7,577.5,691.5,40.0,28.0,0.8,x-axis-label
8,700.5,691.5,40.0,28.0,1.0,x-axis-label
9,208.5,691.5,40.0,28.0,0.2,x-axis-label
10,372.0,724.5,82.0,26.5,E Jacc,x-axis-title
13,85.5,691.5,40.0,28.0,0.0,x-axis-label
15,37.5,502.5,28.0,40.0,0.2,y-axis-label
16,37.5,625.5,28.0,40.0,0.0,y-axis-label
17,6.0,297.0,26.5,82.0,T Jacc,y-axis-title
19,37.5,379.5,28.0,40.0,0.4,y-axis-label
20,37.5,256.5,28.0,40.0,0.6,y-axis-label
21,37.5,133.5,28.0,40.0,0.8,y-axis-label
