id,x,y,width,height,text,type
0,130.5,192.0,26.5,29.5,20,y-axis-label
1,93.0,249.0,34.0,103.0,Frequency,y-axis-title
2,130.5,97.5,26.5,29.5,25,y-axis-label
3,130.5,289.5,28.0,28.0,15,y-axis-label
4,130.5,379.5,28.0,32.5,10,y-axis-label
5,142.5,477.0,14.5,29.5,5,y-axis-label
6,142.5,571.5,14.5,28.0,0,y-axis-label
7,153.0,588.0,16.0,26.5,0,x-axis-label
8,241.5,589.5,26.5,23.5,20,x-axis-label
9,334.5,589.5,28.0,25.0,40,x-axis-label
10,429.0,588.0,26.5,28.0,60,x-axis-label
11,523.5,588.0,26.5,23.5,80,x-axis-label
12,486.0,613.5,80.5,28.0,Clusters,x-axis-title
13,610.5,588.0,40.0,26.5,100,x-axis-label
14,705.0,588.0,38.5,26.5,120,x-axis-label
15,798.0,588.0,40.0,25.0,140,x-axis-label
16,130.5,1.5,28.0,29.5,30,y-axis-label
