id,x,y,width,height,text,type
0,69.0,7.5,34.0,29.5,50,y-axis-label
1,397.5,30.0,271.0,28.0,dependency distance,legend-label
3,483.0,58.5,185.5,28.0,linear distance,legend-label
5,69.0,52.5,34.0,29.5,45,y-axis-label
6,7.5,94.5,28.0,299.5,Proportion of edges [%],y-axis-title
10,69.0,97.5,34.0,29.5,40,y-axis-label
11,69.0,142.5,34.0,29.5,35,y-axis-label
12,69.0,187.5,34.0,28.0,30,y-axis-label
13,69.0,232.5,34.0,28.0,25,y-axis-label
14,69.0,277.5,34.0,28.0,20,y-axis-label
15,69.0,321.0,34.0,29.5,15,y-axis-label
16,69.0,366.0,34.0,29.5,10,y-axis-label
17,84.0,411.0,19.0,29.5,5,y-axis-label
18,84.0,456.0,19.0,29.5,0,y-axis-label
19,138.0,484.5,17.5,28.0,0,x-axis-label
20,193.5,484.5,19.0,28.0,1,x-axis-label
21,250.5,484.5,17.5,28.0,2,x-axis-label
22,306.0,484.5,19.0,28.0,3,x-axis-label
23,361.5,484.5,19.0,28.0,4,x-axis-label
24,418.5,484.5,17.5,28.0,5,x-axis-label
25,474.0,484.5,19.0,28.0,6,x-axis-label
26,531.0,484.5,17.5,28.0,7,x-axis-label
27,379.5,526.5,152.5,29.5,Edge length,x-axis-title
29,586.5,484.5,19.0,28.0,8,x-axis-label
30,643.5,484.5,17.5,28.0,9,x-axis-label
31,691.5,484.5,34.0,28.0,10,x-axis-label
32,739.5,484.5,50.5,28.0,>10,x-axis-label
