id,x,y,width,height,text,type
0,208.5,33.0,451.0,77.5,Successful Task Completion - Verbose Condition Only,title
7,42.0,184.5,49.0,25.0,1.00,y-axis-label
8,42.0,240.0,49.0,23.5,0.80,y-axis-label
9,42.0,294.0,49.0,25.0,0.60,y-axis-label
10,42.0,349.5,49.0,23.5,0.40,y-axis-label
11,42.0,403.5,49.0,23.5,0.20,y-axis-label
12,42.0,457.5,49.0,25.0,0.00,y-axis-label
13,165.0,493.5,67.0,25.0,1-Sep,x-axis-label
14,345.0,493.5,67.0,25.0,3-Sep,x-axis-label
15,525.0,493.5,67.0,25.0,5-Sep,x-axis-label
16,705.0,493.5,67.0,25.0,Comb,x-axis-label
17,402.0,556.5,131.5,25.0,# of Flights,x-axis-title
