id,x,y,width,height,text,type
3,87.0,40.5,100.0,35.5,BLEU,y-axis-title
5,4.5,94.5,49.0,35.5,.27,y-axis-label
9,4.5,177.0,49.0,35.5,.26,y-axis-label
13,4.5,259.5,49.0,37.0,.25,y-axis-label
17,4.5,342.0,49.0,37.0,.24,y-axis-label
21,4.5,424.5,49.0,37.0,.23,y-axis-label
22,4.5,508.5,49.0,35.5,.22,y-axis-label
27,4.5,591.0,49.0,35.5,.21,y-axis-label
30,4.5,673.5,49.0,35.5,.20,y-axis-label
32,4.5,756.0,49.0,35.5,.19,y-axis-label
33,400.5,669.0,50.5,35.5,AP,legend-label
34,400.5,711.0,74.5,35.5,Joint,legend-label
35,400.5,751.5,53.5,35.5,M4,legend-label
36,400.5,793.5,61.0,35.5,Syn,legend-label
38,4.5,838.5,49.0,35.5,.18,y-axis-label
39,42.0,871.5,58.0,35.5,10k,x-axis-label
40,124.5,871.5,58.0,35.5,20k,x-axis-label
41,207.0,871.5,58.0,35.5,40k,x-axis-label
42,289.5,871.5,58.0,35.5,80k,x-axis-label
43,363.0,871.5,76.0,35.5,160k,x-axis-label
44,445.5,871.5,77.5,35.5,320k,x-axis-label
45,153.0,916.5,320.5,37.0,Training Corpus Size,x-axis-title
