id,x,y,width,height,text,type
0,7.5,6.0,28.0,55.0,0.45,y-axis-label
1,7.5,90.0,28.0,55.0,0.40,y-axis-label
2,7.5,174.0,28.0,55.0,0.35,y-axis-label
3,184.5,576.0,38.5,28.0,SV,x-axis-label
4,261.0,576.0,38.5,28.0,ES,x-axis-label
5,337.5,576.0,40.0,28.0,DA,x-axis-label
6,415.5,576.0,37.0,28.0,PT,x-axis-label
7,496.5,576.0,28.0,28.0,IT,x-axis-label
8,568.5,576.0,37.0,28.0,EL,x-axis-label
9,645.0,576.0,37.0,28.0,NL,x-axis-label
10,720.0,576.0,41.5,28.0,DE,x-axis-label
11,804.0,576.0,26.5,28.0,FI,x-axis-label
12,7.5,258.0,28.0,55.0,0.30,y-axis-label
13,7.5,342.0,28.0,56.5,0.25,y-axis-label
14,108.0,576.0,38.5,28.0,FR,x-axis-label
15,156.0,55.5,83.5,28.0,Oracle,legend-label
16,156.0,88.5,62.5,26.5,MAX,legend-label
17,156.0,120.0,58.0,28.0,Solo,legend-label
18,7.5,426.0,28.0,56.5,0.20,y-axis-label
19,7.5,510.0,28.0,56.5,0.15,y-axis-label
