id,x,y,width,height,text,type
0,51.0,7.5,53.5,28.0,0.73,y-axis-label
1,453.0,34.5,91.0,29.5,overlap,legend-label
2,504.0,64.5,40.0,28.0,SU,legend-label
3,468.0,93.0,76.0,29.5,NPMI,legend-label
4,51.0,64.5,53.5,28.0,0.72,y-axis-label
5,6.0,106.5,35.5,221.5,Expected Loss,y-axis-title
7,51.0,120.0,53.5,29.5,0.71,y-axis-label
8,66.0,177.0,38.5,29.5,0.7,y-axis-label
9,51.0,234.0,53.5,28.0,0.69,y-axis-label
10,51.0,291.0,53.5,28.0,0.68,y-axis-label
11,51.0,346.5,53.5,29.5,0.67,y-axis-label
12,51.0,403.5,53.5,29.5,0.66,y-axis-label
13,115.5,433.5,17.5,28.0,0,x-axis-label
14,201.0,433.5,32.5,28.0,50,x-axis-label
15,286.5,433.5,47.5,28.0,100,x-axis-label
16,379.5,433.5,46.0,28.0,150,x-axis-label
17,472.5,433.5,46.0,28.0,200,x-axis-label
18,565.5,433.5,46.0,28.0,250,x-axis-label
19,658.5,433.5,46.0,28.0,300,x-axis-label
20,289.5,474.0,220.0,35.5,Top n features,x-axis-title
