id,x,y,width,height,text,type
0,64.5,7.5,16.0,25.0,1,y-axis-label
1,45.0,163.5,34.0,25.0,0.8,y-axis-label
2,45.0,241.5,34.0,25.0,0.7,y-axis-label
3,43.5,319.5,35.5,25.0,0.6,y-axis-label
4,45.0,397.5,34.0,25.0,0.5,y-axis-label
5,43.5,475.5,34.0,25.0,0.4,y-axis-label
6,45.0,553.5,34.0,25.0,0.3,y-axis-label
7,43.5,631.5,34.0,25.0,0.2,y-axis-label
8,535.5,72.0,197.5,25.0,Correctness Model,legend-label
10,535.5,99.0,244.0,25.0,Appropriateness Model,legend-label
12,535.5,130.5,182.5,26.5,Combined Model,legend-label
14,535.5,157.5,166.0,26.5,Reduced Model,legend-label
16,43.5,85.5,35.5,25.0,0.9,y-axis-label
17,7.5,336.0,37.0,143.5,Precision,y-axis-title
18,45.0,709.5,35.5,25.0,0.1,y-axis-label
19,63.0,787.5,16.0,25.0,0,y-axis-label
20,78.0,805.5,16.0,25.0,0,x-axis-label
21,147.0,805.5,35.5,25.0,0.1,x-axis-label
22,225.0,805.5,34.0,25.0,0.2,x-axis-label
23,303.0,805.5,35.5,25.0,0.3,x-axis-label
24,381.0,805.5,34.0,25.0,0.4,x-axis-label
25,459.0,805.5,35.5,26.5,0.5,x-axis-label
26,537.0,805.5,34.0,26.5,0.6,x-axis-label
27,615.0,805.5,34.0,25.0,0.7,x-axis-label
28,693.0,805.5,34.0,25.0,0.8,x-axis-label
29,771.0,805.5,34.0,25.0,0.9,x-axis-label
30,859.5,805.5,16.0,25.0,1,x-axis-label
31,426.0,832.5,100.0,37.0,Recall,x-axis-title
