id,x,y,width,height,text,type
0,22.5,9.0,44.5,31.0,0.5,y-axis-label
1,6.0,63.0,61.0,29.5,0.45,y-axis-label
2,22.5,115.5,44.5,31.0,0.4,y-axis-label
3,135.0,31.5,184.0,31.0,ACL/COLING,legend-label
4,147.0,61.5,172.0,31.0,ACL/EMNLP,legend-label
5,90.0,91.5,229.0,31.0,EMNLP/COLING,legend-label
6,6.0,169.5,61.0,29.5,0.35,y-axis-label
7,22.5,223.5,44.5,29.5,0.3,y-axis-label
8,6.0,276.0,61.0,31.0,0.25,y-axis-label
9,22.5,330.0,44.5,29.5,0.2,y-axis-label
10,6.0,382.5,61.0,31.0,0.15,y-axis-label
11,22.5,436.5,44.5,29.5,0.1,y-axis-label
12,6.0,490.5,61.0,29.5,0.05,y-axis-label
13,48.0,543.0,19.0,31.0,0,y-axis-label
14,79.5,573.0,68.5,31.0,1980,x-axis-label
15,205.5,573.0,68.5,31.0,1985,x-axis-label
16,331.5,573.0,70.0,31.0,1990,x-axis-label
17,457.5,573.0,70.0,31.0,1995,x-axis-label
18,585.0,573.0,68.5,31.0,2000,x-axis-label
19,711.0,573.0,68.5,31.0,2005,x-axis-label
