id,x,y,width,height,text,type
0,25.5,1.5,397.0,43.0,Framework for INT,title
3,76.5,112.5,44.5,37.0,0.8,y-axis-label
4,76.5,178.5,44.5,35.5,0.6,y-axis-label
5,76.5,244.5,44.5,35.5,0.4,y-axis-label
6,76.5,310.5,44.5,35.5,0.2,y-axis-label
7,102.0,376.5,19.0,35.5,0,y-axis-label
8,145.5,433.5,19.0,35.5,1,x-axis-label
9,184.5,433.5,20.5,35.5,2,x-axis-label
10,225.0,433.5,19.0,35.5,3,x-axis-label
11,264.0,433.5,19.0,35.5,4,x-axis-label
12,303.0,433.5,20.5,35.5,5,x-axis-label
13,343.5,433.5,19.0,35.5,6,x-axis-label
14,382.5,433.5,20.5,35.5,7,x-axis-label
15,423.0,433.5,19.0,35.5,8,x-axis-label
16,462.0,433.5,19.0,35.5,9,x-axis-label
17,493.5,433.5,35.5,35.5,10,x-axis-label
18,532.5,433.5,37.0,35.5,11,x-axis-label
19,571.5,433.5,37.0,35.5,12,x-axis-label
20,612.0,433.5,35.5,35.5,13,x-axis-label
21,651.0,433.5,37.0,35.5,14,x-axis-label
22,691.5,433.5,35.5,35.5,15,x-axis-label
23,391.5,505.5,80.5,46.0,Rank,x-axis-title
24,0.0,180.0,38.5,160.0,Precision,y-axis-title
