id,x,y,width,height,text,type
0,66.0,6.0,68.5,17.5,0.195,y-axis-label
1,594.0,30.0,206.5,19.0,Concept Mapping,legend-label
3,81.0,85.5,53.5,19.0,0.19,y-axis-label
4,66.0,166.5,68.5,19.0,0.185,y-axis-label
5,81.0,247.5,53.5,19.0,0.18,y-axis-label
6,6.0,360.0,26.5,197.5,11 pt Avergage Precision,y-axis-title
10,66.0,328.5,68.5,19.0,0.175,y-axis-label
11,81.0,409.5,53.5,19.0,0.17,y-axis-label
12,66.0,490.5,68.5,19.0,0.165,y-axis-label
13,81.0,571.5,53.5,19.0,0.16,y-axis-label
14,66.0,652.5,68.5,19.0,0.155,y-axis-label
15,81.0,733.5,53.5,17.5,0.15,y-axis-label
16,66.0,814.5,68.5,17.5,0.145,y-axis-label
17,81.0,895.5,53.5,17.5,0.14,y-axis-label
18,139.5,912.0,17.5,19.0,0,x-axis-label
19,288.0,912.0,17.5,19.0,5,x-axis-label
20,429.0,912.0,32.5,19.0,10,x-axis-label
21,577.5,912.0,32.5,19.0,15,x-axis-label
22,403.5,930.0,230.5,19.0,Threshold (# terms),x-axis-title
25,726.0,912.0,31.0,19.0,20,x-axis-label
26,874.5,912.0,31.0,19.0,25,x-axis-label
