id,x,y,width,height,text,type
0,63.0,3.0,16.0,32.5,1,y-axis-label
1,-1.5,159.0,37.0,125.5,Precision,y-axis-title
2,42.0,105.0,37.0,32.5,0.9,y-axis-label
3,42.0,207.0,37.0,32.5,0.8,y-axis-label
4,177.0,283.5,233.5,38.5,Combined System,legend-label
6,177.0,331.5,116.5,37.0,PARSIM,legend-label
7,177.0,378.0,148.0,37.0,Agg. HK10,legend-label
9,42.0,310.5,37.0,31.0,0.7,y-axis-label
10,42.0,412.5,37.0,32.5,0.6,y-axis-label
11,82.5,451.5,35.5,32.5,0.4,x-axis-label
12,207.0,451.5,37.0,32.5,0.5,x-axis-label
13,331.5,451.5,37.0,32.5,0.6,x-axis-label
14,457.5,451.5,35.5,32.5,0.7,x-axis-label
15,582.0,451.5,35.5,32.5,0.8,x-axis-label
16,706.5,451.5,37.0,32.5,0.9,x-axis-label
17,841.5,451.5,16.0,32.5,1,x-axis-label
18,432.0,498.0,85.0,37.0,Recall,x-axis-title
