id,x,y,width,height,text,type
0,69.0,33.0,49.0,28.0,0.43,y-axis-label
1,36.0,139.5,25.0,109.0,F Measure,y-axis-title
4,81.0,180.0,37.0,28.0,0.4,y-axis-label
5,69.0,229.5,49.0,28.0,0.39,y-axis-label
6,69.0,280.5,49.0,28.0,0.38,y-axis-label
7,270.0,364.5,49.0,28.0,1200,x-axis-label
8,438.0,364.5,47.5,28.0,1400,x-axis-label
9,435.0,397.5,59.5,26.5,docs/s,x-axis-title
10,603.0,364.5,47.5,28.0,1600,x-axis-label
11,768.0,364.5,47.5,28.0,1800,x-axis-label
12,69.0,132.0,49.0,28.0,0.41,y-axis-label
13,69.0,328.5,49.0,28.0,0.37,y-axis-label
14,105.0,364.5,49.0,28.0,1000,x-axis-label
15,718.5,52.5,40.0,28.0,C-E,legend-label
16,718.5,81.0,34.0,26.5,C-J,legend-label
17,718.5,106.5,55.0,26.5,C-E-J,legend-label
18,69.0,81.0,49.0,28.0,0.42,y-axis-label
